Date : 2024-02-16 21:22:23
Directory : h:\unity\SE-LOCM
Total : 779 files,  78486 codes, 19310 comments, 16793 blanks, all 114589 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\CallStackItem.cs                                                                   | C#                      |         19 |          0 |          7 |         26 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\CallStackItemFlags.cs                                                              | C#                      |         14 |          0 |          4 |         18 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\ExecutionState.cs                                                                  | C#                      |         11 |          0 |          2 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Instruction.cs                                                                     | C#                      |        176 |          0 |         51 |        227 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\OpCode.cs                                                                          | C#                      |         57 |          8 |         13 |         78 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\OpCodeMetadataType.cs                                                              | C#                      |         12 |          0 |          2 |         14 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\DebugContext.cs                                                          | C#                      |         19 |          0 |          2 |         21 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor.cs                                                             | C#                      |        132 |          2 |         34 |        168 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_BinaryDump.cs                                                  | C#                      |        104 |          0 |         32 |        136 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_Coroutines.cs                                                  | C#                      |         69 |          7 |         16 |         92 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_Debugger.cs                                                    | C#                      |        343 |          6 |         63 |        412 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_Errors.cs                                                      | C#                      |         26 |          1 |         10 |         37 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_IExecutionContext.cs                                           | C#                      |         77 |          0 |         18 |         95 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_InstructionLoop.cs                                             | C#                      |      1,092 |         26 |        253 |      1,371 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_Scope.cs                                                       | C#                      |        124 |          0 |         29 |        153 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Execution\VM\Processor\Processor_UtilityFunctions.cs                                            | C#                      |        121 |          0 |         29 |        150 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\IO\BinDumpBinaryReader.cs                                                                       | C#                      |         50 |          3 |          9 |         62 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\IO\BinDumpBinaryWriter.cs                                                                       | C#                      |         71 |          3 |         12 |         86 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\IO\UndisposableStream.cs                                                                        | C#                      |        126 |          5 |         31 |        162 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes\MoonSharpHiddenAttribute.cs                                                  | C#                      |          9 |          3 |          2 |         14 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes\MoonSharpHideMemberAttribute.cs                                              | C#                      |         13 |         10 |          3 |         26 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes\MoonSharpPropertyAttribute.cs                                                | C#                      |         16 |         13 |          8 |         37 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes\MoonSharpUserDataAttribute.cs                                                | C#                      |         13 |          9 |          3 |         25 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes\MoonSharpUserDataMetamethodAttribute.cs                                      | C#                      |         13 |         10 |          4 |         27 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Attributes\MoonSharpVisibleAttribute.cs                                                 | C#                      |         14 |         10 |          3 |         27 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors\DispatchingUserDataDescriptor.cs                                       | C#                      |        380 |        190 |         96 |        666 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors\IMemberDescriptor.cs                                                   | C#                      |         53 |         75 |         20 |        148 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors\IOptimizableDescriptor.cs                                              | C#                      |          7 |          7 |          2 |         16 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors\IOverloadableMemberDescriptor.cs                                       | C#                      |         13 |         30 |          7 |         50 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors\MemberDescriptorAccess.cs                                              | C#                      |         11 |         12 |          9 |         32 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\BasicDescriptors\ParameterDescriptor.cs                                                 | C#                      |         86 |         80 |         19 |        185 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Converters\ClrToScriptConversions.cs                                                    | C#                      |        115 |         19 |         47 |        181 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Converters\NumericConversions.cs                                                        | C#                      |         59 |         15 |          9 |         83 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Converters\ScriptToClrConversions.cs                                                    | C#                      |        271 |         11 |         35 |        317 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Converters\StringConversions.cs                                                         | C#                      |         44 |          0 |          6 |         50 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\Converters\TableConversions.cs                                                          | C#                      |        165 |         30 |         45 |        240 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\CustomConvertersCollection.cs                                                           | C#                      |         73 |         84 |         33 |        190 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\DescriptorHelpers.cs                                                                    | C#                      |        179 |         71 |         49 |        299 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\IGeneratorUserDataDescriptor.cs                                                         | C#                      |          8 |         32 |          2 |         42 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\IUserDataDescriptor.cs                                                                  | C#                      |         14 |         57 |          2 |         73 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\IUserDataMemberDescriptor.cs                                                            | C#                      |         17 |         28 |          7 |         52 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\IUserDataType.cs                                                                        | C#                      |          9 |         37 |          2 |         48 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\IWireableDescriptor.cs                                                                  | C#                      |          7 |          9 |          2 |         18 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\InteropAccessMode.cs                                                                    | C#                      |         14 |         36 |          2 |         52 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\InteropRegistrationPolicy.cs                                                            | C#                      |         12 |         22 |          4 |         38 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop\CharPtr.cs                                                              | C#                      |        148 |         45 |         24 |        217 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop\LuaBase.cs                                                              | C#                      |        234 |         33 |         57 |        324 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop\LuaBase_CLib.cs                                                         | C#                      |        102 |          2 |         16 |        120 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop\LuaLBuffer.cs                                                           | C#                      |         15 |          1 |          6 |         22 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop\LuaState.cs                                                             | C#                      |         69 |          4 |         22 |         95 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\LuaStateInterop\Tools.cs                                                                | C#                      |        579 |        107 |         47 |        733 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\PredefinedUserData\AnonWrapper.cs                                                       | C#                      |         17 |         18 |          6 |         41 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\PredefinedUserData\EnumerableWrapper.cs                                                 | C#                      |         80 |          3 |         17 |        100 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\PropertyTableAssigner.cs                                                                | C#                      |        142 |         83 |         36 |        261 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\ProxyObjects\DelegateProxyFactory.cs                                                    | C#                      |         30 |         25 |          8 |         63 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\ProxyObjects\IProxyFactory.cs                                                           | C#                      |         16 |         20 |          4 |         40 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\ReflectionSpecialNames.cs                                                               | C#                      |        178 |          6 |         12 |        196 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\RegistrationPolicies\AutomaticRegistrationPolicy.cs                                     | C#                      |         11 |         11 |          2 |         24 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\RegistrationPolicies\DefaultRegistrationPolicy.cs                                       | C#                      |         19 |         21 |          3 |         43 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\RegistrationPolicies\IRegistrationPolicy.cs                                             | C#                      |          9 |         15 |          4 |         28 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\RegistrationPolicies\PermanentRegistrationPolicy.cs                                     | C#                      |         15 |         20 |          4 |         39 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\AutoDescribingUserDataDescriptor.cs                                 | C#                      |         56 |         58 |         17 |        131 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\CompositeUserDataDescriptor.cs                                      | C#                      |         65 |         65 |         16 |        146 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\EventFacade.cs                                                      | C#                      |         44 |          0 |          8 |         52 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\HardwiredDescriptors\DefaultValue.cs                                | C#                      |          7 |          0 |          2 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\HardwiredDescriptors\HardwiredMemberDescriptor.cs                   | C#                      |         40 |          0 |         12 |         52 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\HardwiredDescriptors\HardwiredMethodMemberDescriptor.cs             | C#                      |         27 |          0 |          8 |         35 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\HardwiredDescriptors\HardwiredUserDataDescriptor.cs                 | C#                      |         12 |          0 |          4 |         16 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\MemberDescriptors\ArrayMemberDescriptor.cs                          | C#                      |         66 |         19 |         21 |        106 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\MemberDescriptors\DynValueMemberDescriptor.cs                       | C#                      |         91 |         49 |         16 |        156 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\MemberDescriptors\FunctionMemberDescriptorBase.cs                   | C#                      |        160 |        111 |         36 |        307 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\MemberDescriptors\ObjectCallbackMemberDescriptor.cs                 | C#                      |         34 |         31 |          8 |         73 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ProxyUserDataDescriptor.cs                                          | C#                      |         53 |         61 |         12 |        126 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors\EventMemberDescriptor.cs                | C#                      |        223 |         65 |         51 |        339 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors\FieldMemberDescriptor.cs                | C#                      |        145 |         56 |         32 |        233 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors\MethodMemberDescriptor.cs               | C#                      |        205 |         59 |         56 |        320 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors\OverloadedMethodMemberDescriptor.cs     | C#                      |        333 |        108 |         80 |        521 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors\PropertyMemberDescriptor.cs             | C#                      |        199 |         73 |         39 |        311 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\ReflectionMemberDescriptors\ValueTypeDefaultCtorMemberDescriptor.cs | C#                      |         65 |         74 |         22 |        161 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\StandardEnumUserDataDescriptor.cs                                   | C#                      |        233 |         59 |         50 |        342 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\StandardGenericsUserDataDescriptor.cs                               | C#                      |         47 |         19 |         16 |         82 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\StandardDescriptors\StandardUserDataDescriptor.cs                                       | C#                      |        153 |         23 |         42 |        218 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\UserDataMemberType.cs                                                                   | C#                      |         15 |          0 |          2 |         17 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\UserDataRegistries\ExtensionMethodsRegistry.cs                                          | C#                      |        125 |         24 |         30 |        179 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Interop\UserDataRegistries\TypeDescriptorRegistry.cs                                            | C#                      |        248 |         83 |         58 |        389 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\LinqHelpers.cs                                                                                  | C#                      |         24 |         23 |          6 |         53 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders\EmbeddedResourcesScriptLoader.cs                                                        | C#                      |         43 |         23 |          7 |         73 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders\FileSystemScriptLoader.cs                                                               | C#                      |         17 |         19 |          2 |         38 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders\IScriptLoader.cs                                                                        | C#                      |         11 |         28 |          2 |         41 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders\InvalidScriptLoader.cs                                                                  | C#                      |         27 |          3 |          6 |         36 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders\ScriptLoaderBase.cs                                                                     | C#                      |         63 |         54 |         23 |        140 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Loaders\UnityAssetsScriptLoader.cs                                                              | C#                      |        104 |         41 |         31 |        176 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Modules\CoreModules.cs                                                                          | C#                      |         37 |         71 |          9 |        117 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Modules\ModuleRegister.cs                                                                       | C#                      |        158 |         28 |         46 |        232 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Modules\MoonSharpModuleAttribute.cs                                                             | C#                      |          9 |         19 |          2 |         30 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Modules\MoonSharpModuleConstantAttribute.cs                                                     | C#                      |          9 |          8 |          2 |         19 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Modules\MoonSharpModuleMethodAttribute.cs                                                       | C#                      |          9 |         10 |          2 |         21 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\NameSpace_XmlHelp.cs                                                                            | C#                      |         40 |         37 |         19 |         96 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Options\ColonOperatorBehaviour.cs                                                               | C#                      |         13 |         13 |          2 |         28 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\DotNetCorePlatformAccessor.cs                                                         | C#                      |        102 |         95 |         22 |        219 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\IPlatformAccessor.cs                                                                  | C#                      |         22 |         87 |         16 |        125 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\LimitedPlatformAccessor.cs                                                            | C#                      |         56 |         96 |         13 |        165 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\PlatformAccessorBase.cs                                                               | C#                      |        134 |         99 |         33 |        266 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\PlatformAutoDetector.cs                                                               | C#                      |        105 |         26 |         20 |        151 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\StandardFileType.cs                                                                   | C#                      |          9 |         12 |          2 |         23 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Platforms\StandardPlatformAccessor.cs                                                           | C#                      |        162 |         94 |         31 |        287 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\REPL\ReplHistoryNavigator.cs                                                                    | C#                      |         39 |         23 |         12 |         74 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\REPL\ReplInterpreter.cs                                                                         | C#                      |         72 |         31 |         17 |        120 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\REPL\ReplInterpreterScriptLoader.cs                                                             | C#                      |         37 |         25 |          9 |         71 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Script.cs                                                                                       | C#                      |        382 |        254 |        114 |        750 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\ScriptGlobalOptions.cs                                                                          | C#                      |         16 |         17 |          5 |         38 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\ScriptOptions.cs                                                                                | C#                      |         34 |         50 |         17 |        101 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization\Json\JsonNull.cs                                                                  | C#                      |         23 |          3 |          4 |         30 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization\Json\JsonTableConverter.cs                                                        | C#                      |        187 |         26 |         27 |        240 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization\ObjectValueConverter.cs                                                           | C#                      |         44 |          0 |         11 |         55 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Serialization\SerializationExtensions.cs                                                        | C#                      |         90 |          4 |         24 |        118 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Expression_.cs                                                                             | C#                      |        191 |          7 |         48 |        246 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Expressions\AdjustmentExpression.cs                                                        | C#                      |         22 |          0 |          6 |         28 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Expressions\BinaryOperatorExpression.cs                                                    | C#                      |        386 |          6 |         73 |        465 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Thirdparty\FungusLua\Thirdparty\MoonSharp\Interpreter\Tree\Expressions\DynamicExprExpression.cs                                                       | C#                      |         27 |          0 |          7 |         34 |
